application_id,crb_checked,crb_reason,tier3_cost,tier3_result,final_score,decision,recommended_amount
APP_000001,False,Tier 1 score too low (fraud likely),0,,24.8,REJECT,0.0
APP_000002,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",75.6,APPROVE,3000.0
APP_000003,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 657, 'signal': 'Excellent credit history', 'score_boost': 20, 'cost': 50}",84.0,APPROVE,1000.0
APP_000004,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",73.2,APPROVE,3000.0
APP_000005,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",70.4,APPROVE,15000.0
APP_000006,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000007,False,Tier 1 score too low (fraud likely),0,,29.6,REJECT,0.0
APP_000008,False,Sufficient data from Tier 1 and Tier 2,0,,65.2,APPROVE_REDUCED,700.0
APP_000009,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 357, 'signal': 'Poor credit history', 'score_boost': -20, 'cost': 50}",54.0,REJECT,0.0
APP_000010,False,Sufficient data from Tier 1 and Tier 2,0,,69.2,APPROVE_REDUCED,1400.0
APP_000011,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",70.4,APPROVE,15000.0
APP_000012,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000013,False,Sufficient data from Tier 1 and Tier 2,0,,64.0,APPROVE_REDUCED,7000.0
APP_000014,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",72.4,APPROVE,5000.0
APP_000015,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",66.4,APPROVE_REDUCED,10500.0
APP_000016,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000017,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",76.0,APPROVE,10000.0
APP_000018,False,Sufficient data from Tier 1 and Tier 2,0,,72.0,APPROVE,10000.0
APP_000019,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",68.0,APPROVE_REDUCED,14000.0
APP_000020,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 323, 'signal': 'Poor credit history', 'score_boost': -20, 'cost': 50}",43.2,REJECT,0.0
APP_000021,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",74.4,APPROVE,10000.0
APP_000022,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 603, 'signal': 'Good credit history', 'score_boost': 10, 'cost': 50}",86.0,APPROVE,1000.0
APP_000023,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",57.6,APPROVE_REDUCED,10500.0
APP_000024,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",56.0,APPROVE_REDUCED,7000.0
APP_000025,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",59.2,APPROVE_REDUCED,10500.0
APP_000026,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",73.2,APPROVE,20000.0
APP_000027,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000028,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000029,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 496, 'signal': 'Fair credit history', 'score_boost': 0, 'cost': 50}",76.0,APPROVE,5000.0
APP_000030,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",61.6,APPROVE_REDUCED,1400.0
